epoch,split,loss,acc,macro_f1,mcc
1,train,1.4623022248915736,0.31093836757357024,0.30443904723472437,0.08587373266907317
1,val,1.308192694981893,0.43333333333333335,0.418718944392901,0.3021109221372148
2,train,1.3206747274541775,0.4175458078845086,0.41258937258703365,0.22703930667611508
2,val,1.2008095614115397,0.6,0.5372967101332361,0.4524956425964227
3,train,1.2199754435641443,0.48861743475846753,0.48658873347722253,0.31902563719928545
3,val,1.105768798192342,0.6833333333333333,0.5868134347429731,0.5440007775554712
4,train,1.143605033137413,0.5435868961687951,0.5439503952043975,0.39381603612050825
4,val,1.0351630640029907,0.7,0.6033087719256676,0.5657490433151884
5,train,1.0607121051317583,0.6096612992781788,0.6085124712662372,0.4788033724000894
5,val,0.9919384209314982,0.7183333333333334,0.6218732143200936,0.5925867418800703
6,train,1.0206405470465236,0.6252082176568573,0.6177620710540985,0.5056297407774198
6,val,0.9277976369857788,0.7166666666666667,0.6187694446065,0.5874243539946297
7,train,0.9322067248960259,0.6640755136035535,0.6542468943646303,0.5553254298998167
7,val,0.8895579115549723,0.7383333333333333,0.6273775007725733,0.6211129107895792
8,train,0.9120470395292063,0.7029428095502499,0.7072857255316468,0.6042988576445697
8,val,0.8906860574086507,0.7416666666666667,0.6703839370127579,0.630875172081077
9,train,0.8861647384289832,0.7023875624652971,0.6994264251778513,0.6064168717660414
9,val,0.8379856197039286,0.75,0.6585326931094259,0.6387919881344877
10,train,0.8526387254044058,0.7268184342032205,0.7239402107424735,0.6356963147711767
10,val,0.810243976910909,0.745,0.6392246831032347,0.6307258254491488
11,train,0.7270577848784994,0.7745696835091616,0.7779649866833388,0.7012014978414667
11,val,0.6653601638476054,0.7866666666666666,0.7026993819815209,0.6932564241038681
12,train,0.6307414023496256,0.827318156579678,0.8274887108644259,0.7703909072207373
12,val,0.605426903963089,0.7933333333333333,0.70212464901266,0.699831000319047
13,train,0.5266296102694841,0.8828428650749583,0.8870166884843226,0.8438405856372717
13,val,0.5683804146448771,0.815,0.7109545715928696,0.7295223477437631
14,train,0.4667789727565251,0.9039422543031649,0.9058073915778699,0.8719950251936494
14,val,0.5596305219332377,0.805,0.7367995131615853,0.7160511246255705
15,train,0.42100671438426857,0.917823431426985,0.9185109718304864,0.8905417255012091
15,val,0.5275196095307668,0.8116666666666666,0.7310658283791797,0.7249687831457522
16,train,0.3773647015257586,0.9339255968906163,0.9355024640361578,0.9118966300360225
16,val,0.5470870248476665,0.795,0.7087457203567472,0.708718106603003
17,train,0.3214614872532643,0.9489172681843421,0.9493190435383358,0.9319445861677185
17,val,0.5774936777353287,0.7933333333333333,0.6449359798385265,0.7031789156932852
18,train,0.29903832357635374,0.9500277623542477,0.9494382685071003,0.9333874477628277
18,val,0.6385577710469564,0.7666666666666667,0.6606373635928873,0.6736673504113075
19,train,0.24553227063055372,0.9705719044975014,0.9709002552684658,0.9607765278362894
19,val,0.5862907568613688,0.7916666666666666,0.6780119990081465,0.707475017847197
20,train,0.2466480007756094,0.9705719044975014,0.9704309347024689,0.9607701023280333
20,val,0.6651983765761057,0.7766666666666666,0.644713174801923,0.6964532762696887
